Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
7.97,2.30682,2.2945
7.98,2.30299,2.29142
7.99,2.29668,2.2969
8.0,2.30347,2.2971
8.01,2.29708,2.30466
8.02,2.30418,2.30404
8.03,2.3014,2.30231
8.04,2.30507,2.30243
8.05,2.2966,2.29226
8.06,2.30687,2.30046
8.07,2.30368,2.29583
8.08,2.29249,2.30332
8.09,2.30017,2.30221
8.1,2.29202,2.29971
8.11,2.29037,2.30131
8.12,2.28541,2.29764
8.13,2.29228,2.31002
8.14,2.29163,2.30472
8.15,2.29609,2.29558
8.16,2.30098,2.29866
8.17,2.29703,2.29478
8.18,2.29628,2.29638
8.19,2.29468,2.29707
8.2,2.29249,2.29814
8.21,2.29432,2.30012
8.22,2.29686,2.30461
8.23,2.2948,2.30242
8.24,2.30141,2.30344
8.25,2.30146,2.30293
8.26,2.29726,2.30767
8.27,2.30227,2.30699
8.28,2.30428,2.30665
8.29,2.29857,2.30742
8.3,2.29576,2.30652
8.31,2.30323,2.30463
8.32,2.30252,2.3022
8.33,2.3005,2.2932
8.34,2.30415,2.30013
8.35,2.29716,2.31012
8.36,2.30554,2.30929
8.37,2.29494,2.30996
8.38,2.29935,2.3007
8.39,2.29415,2.30398
8.4,2.29648,2.31636
8.41,2.29372,2.31552
8.42,2.29883,2.31656
8.43,2.30353,2.31089
8.44,2.30454,2.31286
8.45,2.30188,2.3109
8.46,2.30237,2.30623
8.47,2.30214,2.30579
8.48,2.30362,2.29761
8.49,2.29788,2.30882
8.5,2.29718,2.31078
8.51,2.30166,2.30204
8.52,2.30647,2.30903
8.53,2.3071,2.31048
8.54,2.30449,2.31087
8.55,2.30167,2.30576
8.56,2.3065,2.30747
8.57,2.30346,2.31574
8.58,2.29703,2.31583
8.59,2.30344,2.31101
8.6,2.30723,2.30046
8.61,2.30841,2.30867
8.62,2.307,2.30431
8.63,2.31295,2.30479
8.64,2.31425,2.30848
8.65,2.30523,2.29889
8.66,2.29938,2.30841
8.67,2.29728,2.31254
8.68,2.29273,2.31037
8.69,2.30588,2.31035
8.7,2.30048,2.30454
8.71,2.30861,2.30591
8.72,2.30317,2.30907
8.73,2.30123,2.29848
8.74,2.30776,2.3113
8.75,2.30994,2.30908
8.76,2.30167,2.31254
8.77,2.30768,2.30897
8.78,2.29719,2.30885
8.79,2.30657,2.30753
8.8,2.29952,2.30019
8.81,2.30375,2.31074
8.82,2.30986,2.31457
8.83,2.30258,2.31482
8.84,2.30232,2.30463
8.85,2.30544,2.31375
8.86,2.30615,2.30666
8.87,2.30092,2.30554
8.88,2.30323,2.30433
8.89,2.29741,2.30199
8.9,2.29801,2.32432
8.91,2.29591,2.3047
8.92,2.29439,2.30901
8.93,2.2887,2.30916
8.94,2.30236,2.30509
8.95,2.2982,2.30647
8.96,2.30024,2.3074
8.97,2.29345,2.3087
8.98,2.30021,2.3143
8.99,2.30244,2.3176
9.0,2.30419,2.30765
9.01,2.30747,2.29899
9.02,2.29267,2.31094
9.03,2.30434,2.31135
9.04,2.30402,2.30838
9.05,2.30379,2.30863
9.06,2.30631,2.30588
9.07,2.29872,2.31301
9.08,2.30045,2.3101
9.09,2.3022,2.31057
9.1,2.29458,2.2989
9.11,2.3138,2.30844
9.12,2.30341,2.30961
9.13,2.31192,2.31235
9.14,2.31129,2.31678
9.15,2.31728,2.30611
9.16,2.30865,2.31248
9.17,2.30939,2.30149
9.18,2.30604,2.31242
9.19,2.30812,2.30412
9.2,2.29904,2.31162
9.21,2.30328,2.31501
9.22,2.3013,2.31267
9.23,2.30414,2.30963
9.24,2.30062,2.31226
9.25,2.29784,2.31354
9.26,2.30753,2.31222
9.27,2.31143,2.31371
9.28,2.3053,2.30708
9.29,2.29888,2.30914
9.3,2.30354,2.30621
9.31,2.30327,2.30874
9.32,2.30878,2.30786
9.33,2.30273,2.31804
9.34,2.30592,2.31331
9.35,2.30556,2.30832
9.36,2.29972,2.31152
9.37,2.30734,2.30689
9.38,2.29846,2.30904
9.39,2.30155,2.29143
9.4,2.30275,2.30427
9.41,2.30323,2.31102
9.42,2.29689,2.30738
9.43,2.29965,2.31133
9.44,2.30522,2.31083
9.45,2.30041,2.30157
9.46,2.30658,2.29741
9.47,2.30502,2.31072
9.48,2.30764,2.30949
9.49,2.30459,2.30486
9.5,2.31197,2.30639
9.51,2.30609,2.30401
9.52,2.30972,2.30166
9.53,2.31251,2.31202
9.54,2.31098,2.31174
9.55,2.30277,2.3113
9.56,2.30381,2.30367
9.57,2.30301,2.31485
9.58,2.31015,2.3137
9.59,2.30476,2.30896
9.6,2.29773,2.30811
9.61,2.30295,2.31095
9.62,2.30097,2.30669
9.63,2.3018,2.30887
9.64,2.30542,2.31172
9.65,2.30534,2.308
9.66,2.30588,2.30681
9.67,2.2997,2.31527
9.68,2.30295,2.30688
9.69,2.30098,2.31946
9.7,2.30883,2.31949
9.71,2.30823,2.31634
9.72,2.30458,2.31311
9.73,2.30758,2.31433
9.74,2.30974,2.31608
9.75,2.3044,2.3151
9.76,2.29583,2.31008
9.77,2.29977,2.30888
9.78,2.29709,2.30484
9.79,2.3036,2.31355
9.8,2.30108,2.30207
9.81,2.29984,2.31095
9.82,2.30361,2.31432
9.83,2.29669,2.30898
9.84,2.30725,2.31504
